trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success,states_visited,zCount
151,False,"{'a': 0.5, 'e': 0.7466555555555555}",20,0,-93.42638527825112,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",0,94,38
152,False,"{'a': 0.5, 'e': 0.7432888888888889}",20,0,-223.40363784129357,"{0: 8, 1: 1, 2: 7, 3: 0, 4: 4}",0,94,38
153,False,"{'a': 0.5, 'e': 0.7399}",20,0,-70.45728101098771,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0,94,38
154,False,"{'a': 0.5, 'e': 0.7364888888888889}",20,6,-48.064914326381306,"{0: 7, 1: 2, 2: 5, 3: 0, 4: 0}",1,94,38
155,False,"{'a': 0.5, 'e': 0.7330555555555556}",20,9,5.804087230374055,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1,94,38
156,False,"{'a': 0.5, 'e': 0.7296}",25,0,-182.9804140786916,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0,94,38
157,False,"{'a': 0.5, 'e': 0.7261222222222222}",25,4,-129.58547018242749,"{0: 14, 1: 3, 2: 1, 3: 0, 4: 3}",1,94,38
158,False,"{'a': 0.5, 'e': 0.7226222222222223}",25,0,-153.21639063537208,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 3}",0,94,38
159,False,"{'a': 0.5, 'e': 0.7191}",25,5,-76.74369334825664,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",1,94,38
160,False,"{'a': 0.5, 'e': 0.7155555555555555}",25,0,-29.876811733706347,"{0: 19, 1: 4, 2: 1, 3: 1, 4: 0}",0,94,38
161,False,"{'a': 0.5, 'e': 0.7119888888888889}",20,16,9.707233099292463,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1,94,38
162,False,"{'a': 0.5, 'e': 0.7083999999999999}",20,0,-20.468399889434973,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0,94,38
163,False,"{'a': 0.5, 'e': 0.7047888888888889}",25,4,-181.75063250674063,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 3}",1,94,38
164,False,"{'a': 0.5, 'e': 0.7011555555555555}",20,0,-60.243772960233336,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0,94,38
165,False,"{'a': 0.5, 'e': 0.6975}",20,12,-4.476360490975513,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1,94,38
166,False,"{'a': 0.5, 'e': 0.6938222222222222}",20,0,-51.61411215893964,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0,94,36
167,False,"{'a': 0.5, 'e': 0.6901222222222222}",20,6,7.0977585278922275,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1,94,36
168,False,"{'a': 0.5, 'e': 0.6864}",30,8,-143.83902010859575,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 2}",1,94,36
169,False,"{'a': 0.5, 'e': 0.6826555555555556}",20,0,-134.2345688277267,"{0: 12, 1: 2, 2: 2, 3: 2, 4: 2}",0,94,35
170,False,"{'a': 0.5, 'e': 0.6788888888888889}",20,0,-47.52963915104312,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0,94,34
